example_id                                                              | status  | run_time        |
./spec/models/ad_integration_spec.rb[1:1:1]                             | passed  | 0.01288 seconds |
./spec/models/ad_integration_spec.rb[1:2:1]                             | passed  | 0.01873 seconds |
./spec/models/ad_integration_spec.rb[1:2:2]                             | passed  | 0.01766 seconds |
./spec/models/ad_integration_spec.rb[1:2:3]                             | passed  | 0.01583 seconds |
./spec/models/ad_integration_spec.rb[1:2:4]                             | passed  | 0.01814 seconds |
./spec/models/ad_integration_spec.rb[1:3:1]                             | passed  | 0.00787 seconds |
./spec/models/ad_integration_spec.rb[1:3:2]                             | passed  | 0.01137 seconds |
./spec/models/ad_integration_spec.rb[1:4:1]                             | passed  | 0.0195 seconds  |
./spec/models/ad_integration_spec.rb[1:5:1]                             | passed  | 0.02274 seconds |
./spec/models/ad_integration_spec.rb[1:6:1]                             | passed  | 0.01862 seconds |
./spec/models/ad_integration_spec.rb[1:7:1]                             | passed  | 0.01941 seconds |
./spec/models/bant_criterion_spec.rb[1:1:1]                             | passed  | 0.02414 seconds |
./spec/models/bant_criterion_spec.rb[1:2:1]                             | passed  | 0.02063 seconds |
./spec/models/bant_criterion_spec.rb[1:2:2]                             | passed  | 0.0217 seconds  |
./spec/models/bant_criterion_spec.rb[1:2:3]                             | passed  | 0.03 seconds    |
./spec/models/bant_criterion_spec.rb[1:2:4]                             | passed  | 0.02296 seconds |
./spec/models/bant_criterion_spec.rb[1:2:5]                             | passed  | 0.02206 seconds |
./spec/models/bant_criterion_spec.rb[1:2:6]                             | passed  | 0.01536 seconds |
./spec/models/bant_criterion_spec.rb[1:2:7]                             | passed  | 0.01032 seconds |
./spec/models/bant_criterion_spec.rb[1:2:8]                             | passed  | 0.0128 seconds  |
./spec/models/bant_criterion_spec.rb[1:2:9]                             | passed  | 0.01147 seconds |
./spec/models/contact_spec.rb[1:1:1]                                    | passed  | 0.01387 seconds |
./spec/models/contact_spec.rb[1:1:2]                                    | passed  | 0.01239 seconds |
./spec/models/contact_spec.rb[1:1:3]                                    | passed  | 0.01266 seconds |
./spec/models/contact_spec.rb[1:1:4]                                    | passed  | 0.0118 seconds  |
./spec/models/contact_spec.rb[1:1:5]                                    | passed  | 0.00979 seconds |
./spec/models/contact_spec.rb[1:2:1]                                    | passed  | 0.0175 seconds  |
./spec/models/contact_spec.rb[1:2:2]                                    | passed  | 0.00849 seconds |
./spec/models/contact_spec.rb[1:2:3]                                    | passed  | 0.00923 seconds |
./spec/models/contact_spec.rb[1:2:4]                                    | passed  | 0.00943 seconds |
./spec/models/contact_spec.rb[1:2:5]                                    | passed  | 0.01026 seconds |
./spec/models/contact_spec.rb[1:2:6]                                    | passed  | 0.00903 seconds |
./spec/models/contact_spec.rb[1:2:7]                                    | passed  | 0.01072 seconds |
./spec/models/contact_spec.rb[1:2:8]                                    | passed  | 0.01055 seconds |
./spec/models/contact_spec.rb[1:3:1]                                    | passed  | 0.00853 seconds |
./spec/models/contact_spec.rb[1:3:2]                                    | passed  | 0.00878 seconds |
./spec/models/contact_spec.rb[1:4:1]                                    | passed  | 0.01276 seconds |
./spec/models/contact_spec.rb[1:5:1]                                    | passed  | 0.0267 seconds  |
./spec/models/contact_spec.rb[1:5:2]                                    | passed  | 0.02091 seconds |
./spec/models/contact_spec.rb[1:6:1]                                    | passed  | 0.00789 seconds |
./spec/models/contact_spec.rb[1:6:2]                                    | passed  | 0.00761 seconds |
./spec/models/contact_spec.rb[1:6:3]                                    | passed  | 0.00862 seconds |
./spec/models/export_spec.rb[1:1:1]                                     | passed  | 0.24335 seconds |
./spec/models/export_spec.rb[1:1:2]                                     | passed  | 0.2396 seconds  |
./spec/models/export_spec.rb[1:1:3]                                     | passed  | 0.2421 seconds  |
./spec/models/export_spec.rb[1:1:4]                                     | passed  | 0.24802 seconds |
./spec/models/export_spec.rb[1:2:1]                                     | passed  | 0.24166 seconds |
./spec/models/export_spec.rb[1:2:2]                                     | passed  | 0.27083 seconds |
./spec/models/export_spec.rb[1:2:3]                                     | passed  | 0.2443 seconds  |
./spec/models/export_spec.rb[1:3:1]                                     | passed  | 0.25526 seconds |
./spec/models/export_spec.rb[1:4:1]                                     | passed  | 0.26591 seconds |
./spec/models/landing_page_spec.rb[1:1:1]                               | passed  | 0.01305 seconds |
./spec/models/landing_page_spec.rb[1:1:2]                               | passed  | 0.00946 seconds |
